pais;ano;quantidade_valor;quantidade_kg;type
australia;1972;0;0;importacao_vinhos_de_mesa
austria;1972;520;353;importacao_vinhos_de_mesa
bermudas;1972;0;0;importacao_vinhos_de_mesa
belgica;1972;0;0;importacao_vinhos_de_mesa
bolivia;1972;0;0;importacao_vinhos_de_mesa
bosnia-herzegovina;1972;0;0;importacao_vinhos_de_mesa
brasil;1972;0;0;importacao_vinhos_de_mesa
bulgaria;1972;0;0;importacao_vinhos_de_mesa
canada;1972;0;0;importacao_vinhos_de_mesa
chile;1972;95654;161736;importacao_vinhos_de_mesa
china;1972;0;0;importacao_vinhos_de_mesa
coreia do sul, republica;1972;0;0;importacao_vinhos_de_mesa
croacia;1972;0;0;importacao_vinhos_de_mesa
cuba;1972;0;0;importacao_vinhos_de_mesa
emirados arabes unidos;1972;0;0;importacao_vinhos_de_mesa
eslovênia;1972;0;0;importacao_vinhos_de_mesa
eslovaquia;1972;0;0;importacao_vinhos_de_mesa
espanha;1972;116710;300582;importacao_vinhos_de_mesa
estados unidos;1972;1337;2156;importacao_vinhos_de_mesa
franca;1972;173001;176688;importacao_vinhos_de_mesa
georgia;1972;0;0;importacao_vinhos_de_mesa
georgia do sul e sawich do sul, ilhas;1972;0;0;importacao_vinhos_de_mesa
grecia;1972;0;0;importacao_vinhos_de_mesa
hong kong;1972;0;0;importacao_vinhos_de_mesa
hungria;1972;0;0;importacao_vinhos_de_mesa
ionesia;1972;0;0;importacao_vinhos_de_mesa
irlaa;1972;0;0;importacao_vinhos_de_mesa
israel;1972;0;0;importacao_vinhos_de_mesa
italia;1972;96943;142196;importacao_vinhos_de_mesa
japao;1972;0;0;importacao_vinhos_de_mesa
iugoslavia;1972;1137;1824;importacao_vinhos_de_mesa
libano;1972;0;0;importacao_vinhos_de_mesa
luxemburgo;1972;0;0;importacao_vinhos_de_mesa
macedonia;1972;0;0;importacao_vinhos_de_mesa
marrocos;1972;0;0;importacao_vinhos_de_mesa
mexico;1972;0;0;importacao_vinhos_de_mesa
moldavia;1972;0;0;importacao_vinhos_de_mesa
montenegro;1972;0;0;importacao_vinhos_de_mesa
noruega;1972;0;0;importacao_vinhos_de_mesa
nova zelaia;1972;0;0;importacao_vinhos_de_mesa
paises baixos _holaa;1972;0;0;importacao_vinhos_de_mesa
panama;1972;0;0;importacao_vinhos_de_mesa
peru;1972;0;0;importacao_vinhos_de_mesa
porto rico;1972;0;0;importacao_vinhos_de_mesa
portugal;1972;1226232;1650727;importacao_vinhos_de_mesa
reino unido;1972;0;0;importacao_vinhos_de_mesa
republica dominicana;1972;0;0;importacao_vinhos_de_mesa
romênia;1972;0;0;importacao_vinhos_de_mesa
russia;1972;0;0;importacao_vinhos_de_mesa
san marino;1972;0;0;importacao_vinhos_de_mesa
servia;1972;0;0;importacao_vinhos_de_mesa
siria;1972;0;0;importacao_vinhos_de_mesa
suazilaia;1972;0;0;importacao_vinhos_de_mesa
suica;1972;0;0;importacao_vinhos_de_mesa
tcheca, republica;1972;0;0;importacao_vinhos_de_mesa
tunisia;1972;0;0;importacao_vinhos_de_mesa
turquia;1972;0;0;importacao_vinhos_de_mesa
ucrania;1972;0;0;importacao_vinhos_de_mesa
uruguai;1972;2741;7394;importacao_vinhos_de_mesa
nao consta na tabela;1972;0;0;importacao_vinhos_de_mesa
nao declarados;1972;0;0;importacao_vinhos_de_mesa
outros;1972;25032;79052;importacao_vinhos_de_mesa
africa do sul;1973;0;0;importacao_vinhos_de_mesa
alemanha;1973;98638;111523;importacao_vinhos_de_mesa
argelia;1973;0;0;importacao_vinhos_de_mesa
arabia saudita;1973;0;0;importacao_vinhos_de_mesa
argentina;1973;76121;116887;importacao_vinhos_de_mesa
armênia;1973;0;0;importacao_vinhos_de_mesa
australia;1973;0;0;importacao_vinhos_de_mesa
austria;1973;2081;2310;importacao_vinhos_de_mesa
bermudas;1973;0;0;importacao_vinhos_de_mesa
belgica;1973;0;0;importacao_vinhos_de_mesa
bolivia;1973;0;0;importacao_vinhos_de_mesa
bosnia-herzegovina;1973;0;0;importacao_vinhos_de_mesa
brasil;1973;0;0;importacao_vinhos_de_mesa
bulgaria;1973;0;0;importacao_vinhos_de_mesa
canada;1973;0;0;importacao_vinhos_de_mesa
chile;1973;212140;301559;importacao_vinhos_de_mesa
china;1973;0;0;importacao_vinhos_de_mesa
coreia do sul, republica;1973;0;0;importacao_vinhos_de_mesa
croacia;1973;0;0;importacao_vinhos_de_mesa
cuba;1973;0;0;importacao_vinhos_de_mesa
emirados arabes unidos;1973;0;0;importacao_vinhos_de_mesa
eslovênia;1973;0;0;importacao_vinhos_de_mesa
eslovaquia;1973;0;0;importacao_vinhos_de_mesa
espanha;1973;117135;226805;importacao_vinhos_de_mesa
estados unidos;1973;0;0;importacao_vinhos_de_mesa
franca;1973;435641;259060;importacao_vinhos_de_mesa
georgia;1973;0;0;importacao_vinhos_de_mesa
georgia do sul e sawich do sul, ilhas;1973;0;0;importacao_vinhos_de_mesa
grecia;1973;0;0;importacao_vinhos_de_mesa
hong kong;1973;0;0;importacao_vinhos_de_mesa
hungria;1973;0;0;importacao_vinhos_de_mesa
ionesia;1973;0;0;importacao_vinhos_de_mesa
irlaa;1973;0;0;importacao_vinhos_de_mesa
israel;1973;0;0;importacao_vinhos_de_mesa
italia;1973;186334;258754;importacao_vinhos_de_mesa
japao;1973;0;0;importacao_vinhos_de_mesa
iugoslavia;1973;813;1251;importacao_vinhos_de_mesa
libano;1973;0;0;importacao_vinhos_de_mesa
luxemburgo;1973;0;0;importacao_vinhos_de_mesa
macedonia;1973;0;0;importacao_vinhos_de_mesa
marrocos;1973;0;0;importacao_vinhos_de_mesa
mexico;1973;0;0;importacao_vinhos_de_mesa
moldavia;1973;0;0;importacao_vinhos_de_mesa
montenegro;1973;0;0;importacao_vinhos_de_mesa
noruega;1973;0;0;importacao_vinhos_de_mesa
nova zelaia;1973;0;0;importacao_vinhos_de_mesa
paises baixos _holaa;1973;0;0;importacao_vinhos_de_mesa
panama;1973;0;0;importacao_vinhos_de_mesa
