cod_produto;produto;ano;litros
suco_concentrado;suco_de_uva_concentrado;1975;0
suco_de_uva_adocado;suco_de_uva_adocado;1975;0
suco_de_uva_organico;suco_de_uva_organico;1975;0
suco_de_uva_reconstituido;suco_de_uva_reconstituido;1975;0
derivados;derivados;1975;53633143
derivados_espumante;espumante;1975;0
derivados_espumante_moscatel;espumante_moscatel;1975;0
derivados_base_espumante;base_espumante;1975;0
derivados_base_espumante_moscatel;base_espumante_moscatel;1975;0
derivados_base_champenoise_champanha;base_champenoise_champanha;1975;0
derivados_base_charmat_champanha;base_charmat_champanha;1975;0
derivados_bebida_de_uva;bebida_de_uva;1975;0
derivados_polpa_de_uva;polpa_de_uva;1975;0
derivados_mosto_simples;mosto_simples;1975;48185206
derivados_mosto_concentrado;mosto_concentrado;1975;0
derivados_mosto_de_uva_com_bagaco;mosto_de_uva_com_bagaco;1975;0
derivados_mosto_dessulfitado;mosto_dessulfitado;1975;0
derivados_mistelas;mistelas;1975;223000
derivados_nectar_de_uva;nectar_de_uva;1975;0
derivados_licorosos;licorosos;1975;24000
derivados_compostos;compostos;1975;0
derivados_jeropiga;jeropiga;1975;0
derivados_filtrado;filtrado;1975;0
derivados_frisante;frisante;1975;0
derivados_vinho_leve;vinho_leve;1975;0
derivados_vinho_licoroso;vinho_licoroso;1975;0
derivados_brandy;brandy;1975;0
derivados_destilado;destilado;1975;0
derivados_bagaceira;bagaceira;1975;576098
derivados_licor_de_bagaceira;licor_de_bagaceira;1975;0
derivados_vinagre;vinagre;1975;0
derivados_borra_liquida;borra_liquida;1975;4624839
derivados_borra_seca;borra_seca;1975;0
derivados_vinho_composto;vinho_composto;1975;0
derivados_pisco;pisco;1975;0
derivados_vinho_organico;vinho_organico;1975;0
derivados_espumante_organico;espumante_organico;1975;0
derivados_destilado_alcoolico_simples_de_bagaceira_;destilado_alcoolico_simples_de_bagaceira_;1975;0
derivados_vinho_acidificado_;vinho_acidificado_;1975;0
derivados_mosto_parcialmente_fermentado_;mosto_parcialmente_fermentado_;1975;0
derivados_outros_derivados;outros_derivados;1975;0
vinho_de_mesa;vinho_de_mesa;1976;144565438
vinho_mesa_tinto;tinto;1976;118360170
vinho_mesa_branco;branco;1976;1871473
vinho_mesa_rosado;rosado;1976;24333795
vinho_fino_de_mesa_vinifera;vinho_fino_de_mesa_vinifera;1976;34500590
vinho_viniferas_tinto;tinto;1976;12405154
vinho_viniferas_branco;branco;1976;19874659
vinho_viniferas_rosado;rosado;1976;2220777
suco;suco;1976;0
suco_de_uva_simples;suco_de_uva_integral;1976;0
suco_concentrado;suco_de_uva_concentrado;1976;0
suco_de_uva_adocado;suco_de_uva_adocado;1976;0
suco_de_uva_organico;suco_de_uva_organico;1976;0
suco_de_uva_reconstituido;suco_de_uva_reconstituido;1976;0
derivados;derivados;1976;22925012
derivados_espumante;espumante;1976;0
derivados_espumante_moscatel;espumante_moscatel;1976;0
derivados_base_espumante;base_espumante;1976;0
derivados_base_espumante_moscatel;base_espumante_moscatel;1976;0
derivados_base_champenoise_champanha;base_champenoise_champanha;1976;0
derivados_base_charmat_champanha;base_charmat_champanha;1976;0
derivados_bebida_de_uva;bebida_de_uva;1976;0
derivados_polpa_de_uva;polpa_de_uva;1976;0
