cod_produto;produto;ano;litros
derivados_nectar_de_uva;NÉCTAR DE UVA;1973;0
derivados_licorosos;LICOROSOS;1973;176500
derivados_compostos;COMPOSTOS;1973;1628000
derivados_jeropiga;JEROPIGA;1973;0
derivados_filtrado;FILTRADO;1973;0
derivados_frisante;FRISANTE;1973;0
derivados_vinho_leve;VINHO LEVE;1973;0
derivados_vinho_licoroso;VINHO LICOROSO;1973;0
derivados_brandy;BRANDY;1973;0
derivados_destilado;DESTILADO;1973;0
derivados_bagaceira;BAGACEIRA;1973;661270
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1973;0
derivados_vinagre;VINAGRE;1973;0
derivados_borra_liquida;BORRA LÍQUIDA;1973;3559922
derivados_borra_seca;BORRA SECA;1973;0
derivados_vinho_composto;VINHO COMPOSTO;1973;0
derivados_pisco;PISCO;1973;0
derivados_vinho_organico;VINHO ORGÂNICO;1973;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1973;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1973;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1973;0
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1973;0
derivados_outros_derivados;OUTROS DERIVADOS;1973;0
vinho_de_mesa;VINHO DE MESA;1974;193875345
vinho_mesa_tinto;TINTO;1974;146544484
vinho_mesa_branco;BRANCO;1974;4138768
vinho_mesa_rosado;ROSADO;1974;43192093
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1974;31644124
vinho_viniferas_tinto;TINTO;1974;10047658
vinho_viniferas_branco;BRANCO;1974;18927471
vinho_viniferas_rosado;ROSADO;1974;2668995
suco;SUCO;1974;0
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1974;0
suco_concentrado;SUCO DE UVA CONCENTRADO;1974;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1974;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1974;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1974;0
derivados;DERIVADOS;1974;47904934
derivados_espumante;ESPUMANTE;1974;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1974;0
derivados_base_espumante;BASE ESPUMANTE;1974;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1974;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1974;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1974;0
derivados_bebida_de_uva;BEBIDA DE UVA;1974;0
